player_id,name,tournament_slug,id_source,event_result_found
98307ab5-02a0-409d-b320-7c77b38a3c53,Suvir Singh,ipt-goa-grandslam-11-0,api_member_ids,True
8c14292c-7d3f-4075-9728-5ecdab778aef,Lokesh Chhabra,ipt-goa-grandslam-11-0,api_member_ids,True
fbb446a9-8fc0-419e-a122-968c42f06acf,Rajat Jain,ipt-goa-grandslam-11-0,api_member_ids,True
8c72bdc2-6eff-4537-ba3a-ad4eaadd542d,Shaan Shah,ipt-goa-grandslam-11-0,api_member_ids,True
9ea9d377-325c-4e5e-8973-2502b62cf1fa,Divy Kothari,ipt-goa-grandslam-11-0,api_member_ids,True
4abc41a6-8e24-4eaa-a669-eadf2b1b7365,Gautam Kaushal,ipt-goa-grandslam-11-0,api_member_ids,True
2ca1e3d6-f039-4d35-8a77-2dc758f3f972,Sahil Dhingra,ipt-goa-grandslam-11-0,api_member_ids,True
a855af93-c390-4b32-9887-e39a874377df,Arnav Sanjeev,ipt-goa-grandslam-11-0,api_member_ids,True
4fd7e826-a45c-45c1-974d-781f0cfc0621,Shelton Mathew,ipt-goa-grandslam-11-0,api_member_ids,True
821bda69-7b49-49ce-96f9-425f549eab3f,Aarman Kler,ipt-goa-grandslam-11-0,api_member_ids,True
3f741097-060e-44be-8402-0bb7f42b5b7e,Vijay Aakash Nemakal,ipt-goa-grandslam-11-0,api_member_ids,True
ff05cc74-ed3a-4f11-b5c9-b91e71e5f39d,Joshua Lobo,ipt-goa-grandslam-11-0,api_member_ids,True
10a7cfb7-155c-48d3-b2a2-8c2bde421e4e,Udhay Mahajan,ipt-goa-grandslam-11-0,api_member_ids,True
2fc76920-fbc0-4f8b-b8cc-cc92661a5f3e,Abhi Panchu,ipt-goa-grandslam-11-0,api_member_ids,True
99aa5ae0-7537-4b6b-b6c3-e13ea17a8127,Tejas Shevde,ipt-goa-grandslam-11-0,api_member_ids,True
d55bd4eb-f316-443e-bc77-b4223089bb9b,Rishabh Kalokhe,ipt-goa-grandslam-11-0,api_member_ids,True
eb6e3572-7307-4365-8009-7450c28a8eae,Sheehan Furtado,ipt-goa-grandslam-11-0,api_member_ids,True
ddb10849-80d7-4445-a21f-8b51010f3dee,Tanveer Singh,ipt-goa-grandslam-11-0,api_member_ids,True
78ea93d2-90f5-4312-a0d6-737a0e704130,Suhail Kapur,ipt-goa-grandslam-11-0,api_member_ids,True
ea36ad45-24c2-4b1d-b812-8ebcf72eb5b2,Rahul Chandwani,ipt-goa-grandslam-11-0,api_member_ids,True
953b53cb-dcf0-4d4b-a3c3-9bd95488b0d4,R S Abhishek,ipt-goa-grandslam-11-0,api_member_ids,True
cebed5c0-9f8f-4458-aaa4-0ee2b6f25f10,Mehul Bansal,ipt-goa-grandslam-11-0,api_member_ids,True
33e396ff-a084-4b28-b360-ff47e5b98714,Yashvardhan Sarda,ipt-goa-grandslam-11-0,api_member_ids,True
9dfae00e-eb77-4ee8-9f32-fb38a9a5cb3a,Prateek Gambhir,ipt-goa-grandslam-11-0,api_member_ids,True
d53d58f6-276e-46d7-b68f-122f5cffc310,Sagar Patodia,ipt-goa-grandslam-11-0,api_member_ids,True
91fe8369-14e1-4871-b264-ff9edce13af8,Raghul Arvind,ipt-goa-grandslam-11-0,api_member_ids,True
6a3070aa-afd1-4319-9aa8-8376abb53ec0,Raghav Bansal,ipt-goa-grandslam-11-0,api_member_ids,True
5938a1b7-dfbe-4c9a-8eb1-4debd778d000,Ishan Maitreya,ipt-goa-grandslam-11-0,api_member_ids,True
3e4cd9d1-4aaf-4f21-b6ff-75e43cbac6e4,Pratham Jain,ipt-goa-grandslam-11-0,api_member_ids,True
460350b9-79b8-43e3-9b0a-6856d9056bda,Arjun Chalotra,ipt-goa-grandslam-11-0,api_member_ids,True
db525122-7288-4cef-a60c-57d5465c23d2,Punit Chawla,ipt-goa-grandslam-11-0,api_member_ids,True
36726a92-ec56-44b3-9a19-4dc479afc322,Tammineedi Jayanth,ipt-goa-grandslam-11-0,api_member_ids,True
f10361b9-af81-48db-8dc6-5bdb33b72c6a,Eshant Uppal,ipt-goa-grandslam-11-0,api_member_ids,True
15061bb7-8b57-4367-b302-35d512b70b74,Mayank Daga,ipt-goa-grandslam-11-0,api_member_ids,True
74a7e384-3f53-44ee-80d0-059e3fa60e1c,Arjun Raju,ipt-goa-grandslam-11-0,api_member_ids,True
ranked-jasmer-kapany,Jasmer Kapany,ipt-goa-grandslam-11-0,exact_name_guest_record,True
6b49f7ef-e989-4036-816e-f0267d3c3ef0,Saish Shelar,ipt-goa-grandslam-11-0,api_member_ids,True
5854e023-8f2c-4811-82ed-0e54efaf63ec,Rahul Motwani,ipt-goa-grandslam-11-0,api_member_ids,True
13d6188c-cd2e-4152-a5c2-0b82573143b9,Advait Bahl,ipt-goa-grandslam-11-0,api_member_ids,True
03c0ac66-cca8-403b-956f-08fe4c08cebe,Pranay Merchant,ipt-goa-grandslam-11-0,api_member_ids,True
38c72183-eb38-4e6f-a490-fe738e55a30a,Arjun Jashani,ipt-goa-grandslam-11-0,api_member_ids,True
531b4b75-e3cf-439f-a0fb-5e83867deff8,Aryan Hemdev,ipt-goa-grandslam-11-0,api_member_ids,True
d53736bd-2d26-4977-9d4f-edb8ddc49ffb,Swaraj Deshmukh,ipt-goa-grandslam-11-0,api_member_ids,True
9db40aca-2be2-4bdd-b807-02ad8bb8bf77,Aditya Jagtap,ipt-goa-grandslam-11-0,api_member_ids,True
cdd858a3-1533-4a7b-bf8b-1b94f0f3b868,Adit Patel,ipt-goa-grandslam-11-0,api_member_ids,True
1cff5d3c-6fd1-4502-a3c5-2b918f107eda,Krishna Teja Ankam,ipt-goa-grandslam-11-0,api_member_ids,True
09ce181d-c08d-4189-ab36-4d4a706f1bcb,Karan Medappa,ipt-goa-grandslam-11-0,api_member_ids,True
783fd411-3a52-446e-90cc-2fcef2baaa51,Varshil Trambadiya,ipt-goa-grandslam-11-0,api_member_ids,True
db64450c-aa4a-4b28-beeb-a84f6a75867b,Premal Javeri,ipt-goa-grandslam-11-0,api_member_ids,True
31049438-40d6-4def-9003-dd2997c61ba1,Gagan Singh,ipt-goa-grandslam-11-0,api_member_ids,True
fe4d1fe1-6ad1-4942-901e-df8580b614d2,Raj Prajapati,ipt-goa-grandslam-11-0,api_member_ids,True
2c982f04-1a03-4d77-9359-5b44f4e5aed2,Vijay Chhabria,ipt-goa-grandslam-11-0,api_member_ids,True
22f71241-5bf4-4dc7-ba33-683a2ea0f75b,Sandip Sabharwal,ipt-goa-grandslam-11-0,api_member_ids,True
65b6eb21-de8a-4528-8567-d6834dcfb20b,Karan Mehrotra,ipt-goa-grandslam-11-0,api_member_ids,True
