category,player_id,name,points | today,rank | today,points | today_if_rolling,rank | today_if_rolling,points | 31 Dec 2026,rank | 31 Dec 2026,points | 30 Jun 2027,rank | 30 Jun 2027,points | 1 Jul 2027 (season reset),rank | 1 Jul 2027 (season reset)
Men's 40+,6ec925af-f358-475a-9fd4-37dfcbb1795d,Harsh Parekh,408,13,408,13,228,17,108,15,108,15
Men's 40+,6878b0c2-2144-404e-ad97-45159eca8fc8,Ankit Doshi,400,14,400,14,160,29,0,18,0,18
Men's 40+,3f2fcf21-952f-4b68-9b43-539d6b1ade27,Navin Shewakramani,348,15,348,15,348,9,108,15,108,15
Men's 40+,8e2d5864-afb0-4dac-88da-4ff402bee428,Anand kothari,300,16,300,16,300,10,300,5,300,5
Men's 40+,ranked-karan-melwani,Karan Melwani,240,17,240,17,240,14,0,18,0,18
Men's 40+,ranked-amit-lala,Amit Lala,240,17,240,17,240,14,0,18,0,18
Men's 40+,ranked-deepak-jaitly,Deepak Jaitly,240,17,240,17,0,33,0,18,0,18
Men's 40+,60389725-28d6-400f-82ff-ab2e9382e011,Harshvardhan Sharma,216,20,216,20,216,18,216,8,216,8
Men's 40+,d195aee3-c907-47fb-a0fa-ee78cb4af2f8,Saurav Kankaria,216,20,216,20,216,18,216,8,216,8
Men's 40+,db64450c-aa4a-4b28-beeb-a84f6a75867b,Premal Javeri,216,20,216,20,216,18,216,8,216,8
Men's 40+,171f1964-54fa-4532-b6e6-24bae76da0af,Nikhil Khemka,216,20,216,20,216,18,216,8,216,8
