player_id,ranking_category,old_points,repriced,unpriced_results
645bea63-c782-48f3-9687-7887da354b08,Men's,50,50.0,0
65e48ebf-0f26-4abe-b2c3-6629ab689249,Men's,12,5.0,0
68516614-5b90-40ce-b11e-09ad9353da5a,Men's,18,9.0,0
6878b0c2-2144-404e-ad97-45159eca8fc8,Men's 40+,400,324.0,0
6892cafd-242b-468e-a1aa-cd2523e083a6,Men's,12,9.0,0
6920ba87-de99-461a-9af7-74a07b08c305,Men's,18,9.0,0
6a3070aa-afd1-4319-9aa8-8376abb53ec0,Men's,30,18.0,0
6b49f7ef-e989-4036-816e-f0267d3c3ef0,Men's,184,168.0,0
6bfd1277-761c-46c8-9e40-cbce3df40c13,Men's,62,51.0,0
6cdc4da7-096f-4c21-a48e-4183e606d2ef,Men's,20,9.0,0
6dc1ecef-b2d9-4579-a1d0-c69e2553a65c,Men's,120,54.0,0
6ec925af-f358-475a-9fd4-37dfcbb1795d,Men's 40+,300,162.0,0
7078cecf-5699-43ef-aefe-dd1c239e92ba,Men's,124,78.0,0
716df803-2711-44e0-99a3-c5d59dfde298,Men's,50,34.0,0
739a853c-ae03-4719-ba64-a326c87ccd84,Women's,18,9.0,0
74a7e384-3f53-44ee-80d0-059e3fa60e1c,Men's,18,9.0,0
76c439ce-ed6a-4d86-b384-38a843b6a4ee,Women's,96,90.0,0
7818fd9a-1675-4d45-acd5-dfc6eff38028,Men's,120,,1
783fd411-3a52-446e-90cc-2fcef2baaa51,Men's,114,86.0,0
7a0a5946-601b-4919-858d-8e3667bd4f77,Women's,60,50.0,0
7a806e55-76b1-406f-b870-2ed511dccdc9,Men's,120,54.0,0
7f46ff27-3043-4e9f-bdc5-c97c8b590e83,Men's,30,18.0,0
7f57a645-a475-4ec7-9b29-0b7812a9931d,Men's,120,,1
7f57a645-a475-4ec7-9b29-0b7812a9931d,Men's 40+,480,414.0,0
808e72ea-16d9-41ac-88af-cdc80de35aa4,Women's,100,100.0,0
83c9faf7-5bd4-4e29-84c2-c2d809c9235b,Men's,700,408.0,1
84bbf8bb-72b8-4471-bb81-4899711ae519,Women's,90,75.0,0
86de48da-644d-40da-9978-08b3b06f6cd6,Men's,120,,1
870d9d70-99b8-453a-8f6f-5d5fc1279646,Men's,20,18.0,0
8730ad11-d9e2-4028-bd65-065e792eee00,Men's,60,60.0,0
