bin,predicted,actual,matches
"[0.5, 0.6)",0.5118548971926218,0.5789473684210527,95
"[0.6, 0.7)",0.657907504348638,0.62,50
"[0.7, 0.8)",0.73966466749742,0.6981132075471698,53
"[0.8, 0.9)",0.853920485962813,0.825,40
"[0.9, 1.0)",0.9637901245303545,0.9743589743589743,39
